"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"1","Earth Shelter","Building structures partially or completely underground to take advantage of the earth's natural insulation and stable temperatures. Earth shelter is also called an earth house, earth bermed house, or underground house, is a structure usually a house with earth (soil) against the walls, on the roof, or that is entirely buried underground.","https://www.energy.gov/energysaver/efficient-earth-sheltered-homes","7,11,13","Affordable and Clean Energy, Sustainable Cities and Communities, Climate Action, Energy conservation","Infrastructual","Community Led","Germany; Switzerland","","https://acclabplatforms.blob.core.windows.net/pads/media/image1.png"
"2","Green Roof","Green roofs are covered with vegetation, which reduces heat absorption and helps to cool buildings passively.","https://www.epa.gov/heatislands/using-green-roofs-reduce-heat-islands","9, 13","Green infrastructure, Energy efficiency, Passive cooling, Thermal reduction, Energy conservation","Infrastructual","Community Led","Barcelona, Spain","","https://acclabplatforms.blob.core.windows.net/pads/media/image2.png"
"3","Shading Devices","Shading devices are structures that block direct sunlight from entering a building, reducing heat gain and keeping the interior cool.","https://core.ac.uk/download/pdf/82283571.pdf","11,13","Climate Action and Sustainable Cities and Communities, Strategies to avoiding the heat, Sustainable cooling solution","Technological","Local Government","Seville, Spain; Malaysia","","https://acclabplatforms.blob.core.windows.net/pads/media/image3.png"
"4","Courtyard Design","Courtyard design is a traditional architectural feature that maximizes shade and airflow, creating a comfortable living environment without the need for air conditioning.","https://www.sciencedirect.com/science/article/abs/pii/S0960148103000120","9, 11,13","Energy Efficeincy, Cooling loads are reduced, Cooling courtyard function","Innovative","Local Government","Seville, Spain; Diyarbakir, Türkiye","","https://acclabplatforms.blob.core.windows.net/pads/media/image4.png"
"5","White roofs","Painting roofs white can reflect sunlight and reduce the amount of heat absorbed by buildings, decreasing the need for air conditioning.","https://climateactionaccelerator.org/solutions/white_roofs/#:~:text=This%20is%20called%20the%20albedo,greenhouse%20gases%20emissions%20(GHGs).","9, 11,13","Energy Efficeincy, Mitigate the GHGs, Albedo effect, Managing thermal comfort","Infrastructual","Local Government","Valencia, Spain ","","https://acclabplatforms.blob.core.windows.net/pads/media/image5.png"
"6","Masdar City","Masdar City is a planned city in Abu Dhabi that uses renewable energy and sustainable technologies, including Passive Cooling System and solar power.","https://www.thenationalnews.com/uae/2023/08/13/abu-dhabi-to-focus-on-clean-energy-in-new-climate-strategy/#:~:text=Emirates%20Water%20and%20Electricity%20Company,solar%20and%20nuclear%20energy%20plants.","7, 9, 13","Renewable Energy, Energy Efficiency, Green Hydrogen, Concentrated Solar Power","Renewable Energy","Local Government","Abu Dhabi, United Arab Emirates","https://masdar.ae/en/renewables","https://acclabplatforms.blob.core.windows.net/pads/media/image6.png"
"7","Paris Climate Plan","The Paris Climate Plan includes measures to reduce greenhouse gas emissions and promote sustainable heating and cooling systems in buildings.","https://www.un.org/en/climatechange/paris-agreement","7,11","Energy efficiency, Renewable Energy, Tackling climate change, Mitigation of GHGs, International cooperation","Innovative","Government","Paris, France","","https://acclabplatforms.blob.core.windows.net/pads/media/image7.png"
"8","Passive Chilled Beams","Passive chilled beams use natural convection to circulate chilled water through ceiling-mounted beams, cooling indoor spaces without forced air.","https://blog.priceindustries.com/what-is-a-passive-chilled-beam","7,11","Energy Efficiency, Chilled beams, Air-conditioning system","Technological","Local Government","North America; Latin America; Europe; Asia Pacific; Middle East;  Africa","","https://acclabplatforms.blob.core.windows.net/pads/media/image8.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image9.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image10.jpeg"
"9","Bamboo Structures","Bamboo structures allow for natural ventilation.It forms a hyperboloid shape for structural stability, the cooling device stands as a bamboo tower that naturally cools air through the adiabatic principle by using, “the natural freshness of water.”","https://www.yankodesign.com/2021/12/08/this-bamboo-cooling-device-combats-climate-change-as-a-sustainable-alternative-to-modern-ac-units/","3,7, 11","Energy Efficiency, Low-Tech, Adiabatic urban cooling, Environmental Design","Innovative","Local Government","Hanoi, Vietnam","","https://acclabplatforms.blob.core.windows.net/pads/media/image11.jpeg"
"10","Trombe Walls","Using a Trombe wall which is part of an exterior wall composed of a glazing surface directed at sun exposure behind the glazing there is an air void then a thermal mass wall made out of compressed earth blocks painted black to absorb the solar radiation and store heat behind the glazing and in the high thermal mass wall.","https://www.sciencedirect.com/science/article/abs/pii/S0038092X1500537X","7, 9, 11","Energy Efficiency, Passive use of solar energy, Low-tech design","Technological","Local Government","India","","https://acclabplatforms.blob.core.windows.net/pads/media/image12.png"
